Entity,Occurrences,Keep
https://www.youtube.com/watch?v=ugqxss_r4wu&list=plhunybeflmeoprut1sukkmryovd4wsxje&index=47 external disturbances,1,yes
our response variable,1,yes
time-dependent effects,1,yes
doe-randomization,1,yes
"these **unknown, unmeasurable, and uncontrollable** disturbances",1,yes
certain disturbances,1,yes
two experiments,1,yes
the two response values,1,yes
the actual response values,1,yes
that disturbance,1,yes
paired experiments,1,yes
this effect,1,yes
a disturbance,1,yes
a **controlled disturbance,1,yes
its effect,1,yes
the controlled disturbance,1,yes
this disturbance,1,yes
a different level,1,yes
blocking and confounding ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ .. youtube,1,yes
"known, or controllable or measurable factors",1,yes
these disturbance factors,1,yes
a slightly better response,1,yes
either the first batch a,1,yes
the second batch b,1,yes
"a known, measurable effect",1,yes
unmeasurable disturbance,1,yes
the least effect,1,yes
the 3 factors,1,yes
\text{raw material effect,1,yes
bias,1,yes
the first batch,1,yes
a response,1,yes
the second batch,1,yes
the batch 1 experiments,1,yes
batch,1,yes
2 experiments,1,yes
these biases,1,yes
all main effects,1,yes
all two-factor interactions,1,yes
the three factor interaction,1,yes
this new factor,1,yes
your hypothesis,1,yes
ofat,1,yes
these four runs,1,yes
four more experiments,1,yes
these last two runs,1,yes
eight experimental runs,1,yes
dissolved oxygen level,1,yes
the ofat (or cost) approach,1,yes
fewer runs,1,yes
the profound effect,1,yes
high-throughput screening,1,yes
fractional factorial methods,1,yes
a known effect,1,yes
the following designed experiment,1,yes
the first factor,1,yes
the second factor,1,yes
the average response,1,yes
the 2 factors,1,yes
an interaction effect,1,yes
a replicate,1,yes
the replicate points,1,yes
two separate factorials,1,yes
the experiment results,1,yes
$30 (low level,1,yes
$50 (high level,1,yes
the very small effect,1,yes
- the main effect,1,yes
a small factorial,1,yes
a larger factorial,1,yes
assignment-6-two-levels,1,yes
interaction.svg,1,yes
362.50` this interaction term,1,yes
the strong negative interaction term,1,yes
this last effect,1,yes
the usual main effects,1,yes
each replicate,1,yes
the design matrix,1,yes
the following least squares model,1,yes
the regression coefficients,1,yes
the final model,1,yes
the least squares model parameters,1,yes
particularly the effect,1,yes
a real industrial problem,1,yes
autocorrelation plots,1,yes
four factors,1,yes
the 16 experiments,1,yes
the 15 main effects,1,yes
the half-fraction experiments,1,yes
these two-factor interactions,1,yes
- generator = - defining relationship = - confounding pattern,1,yes
your half fraction,1,yes
many parameters,1,yes
your parameters,1,yes
(8 runs,1,yes
(16 runs,1,yes
the half fraction,1,yes
- factor,1,yes
the other 8 experiments,1,yes
de-alias factor,1,yes
the other 8 experiment,1,yes
the complete model,1,yes
all effects,1,yes
the important main effects,1,yes
doe/bioreactor-pareto-plot.png,1,yes
the coefficient estimates,1,yes
the levels,1,yes
the insignificant coefficients,1,yes
only the 5 parameters,1,yes
6 parameters,1,yes
the residual vector,1,yes
the coefficient vector,1,yes
the 95% confidence level,1,yes
these 8 runs,1,yes
the fourth factor,1,yes
the highest level,1,yes
these 8 experiments,1,yes
experiment| feed rate | inoculant size,1,yes
| medium | 700g | 60 g/l | 6 mg/l | +-----------+---------------+-----------------+--------------------+-----------------+ #. - generator = **d = abc** - defining relationship,1,yes
the full factorial design,1,yes
the 8 runs,1,yes
the half factorial,1,yes
= catalyst level,1,yes
423k these eight experiments,1,yes
experiment| order,1,yes
their standard levels,1,yes
a suitable quadratic model,1,yes
a response surface plot,1,yes
the experimental region,1,yes
the full factorial portion,1,yes
surface plots,1,yes
instead experiment,1,yes
treatment options,1,yes
the contamination level,1,yes
your treatment method,1,yes
only 9 experiments,1,yes
at least 6 factors,1,yes
the treatment,1,yes
the 6 factors,1,yes
your design,1,yes
the associated resolution,1,yes
our treatment method,1,yes
a blocking variable,1,yes
the least possible effect,1,yes
an extra factor,1,yes
16 experiments,1,yes
that last factor,1,yes
soil factor,1,yes
a 9th experiment,1,yes
any experimental protocol issues,1,yes
this first run,1,yes
my experimental procedure,1,yes
any interesting previous experiment,1,yes
a factorial experiment,1,yes
the two factors,1,yes
high level,1,yes
the blocking,1,yes
your linear model,1,yes
your model,1,yes
an important effect,1,yes
two further experiments,1,yes
your next two runs,1,yes
new experiments,1,yes
how does your experimental strategy change,1,yes
any model equations,1,yes
baseline experiments,1,yes
the least squares parameters,1,yes
the experimental workflow,1,yes
a duplicate experiment,1,yes
since runs,1,yes
a new factor,1,yes
the least disruptive generator,1,yes
this generator,1,yes
this least squares model,1,yes
the above least squares solution,1,yes
the two main effects,1,yes
the operator effect,1,yes
a new run,1,yes
* curvature terms,1,yes
i.e. quadratic terms,1,yes
the experimental strategy changes,1,yes
the quadratic terms,1,yes
the quadratic effect,1,yes
wood surfaces,1,yes
low levels,1,yes
/doe/chemical-reaction-cube-plot-3-factor,1,yes
a effect,1,yes
b effect,1,yes
\bf{4.75}` * **c effect,1,yes
**ab interaction,1,yes
an average bc interaction,1,yes
* **abc interaction,1,yes
a negligible effect,1,yes
no interactions,1,yes
* interactions,1,yes
both these factors,1,yes
the expected model,1,yes
any level,1,yes
higher levels,1,yes
doe/chemical-reaction,1,yes
no main effect,1,yes
2 factor interaction,1,yes
half the experiments,1,yes
a new effect,1,yes
two batches,1,yes
any 2 factor interactions,1,yes
the highest interaction,1,yes
any 2-factor interactions,1,yes
your experiment,1,yes
the low level corresponds,1,yes
the same experimental layout,1,yes
the following factors,1,yes
the original experiments,1,yes
how many experiments,1,yes
fractional factorial,1,yes
all the generators,1,yes
what effects,1,yes
the experimental budget,1,yes
a fractional factorial design,1,yes
^7 = 128` experiments,1,yes
the possible generators,1,yes
exactly those factors,1,yes
these generators,1,yes
exactly these same generators,1,yes
our generators,1,yes
4 generators,1,yes
a resolution iii design,1,yes
only the 2 factor interactions,1,yes
that large coefficient,1,yes
that coefficient,1,yes
"additional, *foldover* experiments",1,yes
the most important coefficients,1,yes
doe/fractional-factorial-question,1,yes
the experiment projects,1,yes
low level =,1,yes
the highest taste level,1,yes
the above model equation,1,yes
zero *two factor,1,yes
interaction term,1,yes
the fractional factorial table,1,yes
your main effects,1,yes
confound factor,1,yes
the response column,1,yes
the relevant experiments,1,yes
the model equation,1,yes
the 4 model parameters,1,yes
your model coefficients,1,yes
the full model equation,1,yes
all 8 experiments,1,yes
a 2.5 taste level increase,1,yes
** levels,1,yes
positive coefficients,1,yes
r-** level,1,yes
a negative coefficient,1,yes
the experimental work,1,yes
the existing experimental data,1,yes
* response variable,1,yes
experimental design,1,yes
all 10 experiments,1,yes
a nonlinear approximation,1,yes
such a model,1,yes
these 10 experiments,1,yes
centerpoint (baseline) runs,1,yes
the slopes,1,yes
later response surface optimization,1,yes
the factorial model,1,yes
response surface techniques,1,yes
a significant 2 factor interaction,1,yes
only the linear terms,1,yes
the extra experiments,1,yes
the axial experiments,1,yes
central composite design,1,yes
the full factorial experiment,1,yes
the above model,1,yes
minimal side effects,1,yes
these treatments,1,yes
the usual factorial manner,1,yes
the low level code,1,yes
* **a** = agitation level,1,yes
this factorial experiment,1,yes
all 4 factors,1,yes
these proposed experimental conditions,1,yes
a four factor experiment,1,yes
the given aliasing,1,yes
the 3.5 coefficient,1,yes
* factor,1,yes
a lower level,1,yes
the small interactions,1,yes
application of statistical design of experiments methods,1,yes
d-optimal design,1,yes
the `coursera mooc <https://yint.org/experiments>`_,1,yes
ref:`doe_expts_with_single_variable,1,yes
ref:`doe_learning_about_systems,1,yes
a large factory producing multiple products,1,yes
several factors,1,yes
every experiment,1,yes
the *response,1,yes
one or more factors,1,yes
a *factor,1,yes
categorical factor,1,yes
at least one factor,1,yes
*numeric factors,1,yes
*categorical factors,1,yes
numeric factors,1,yes
a quantitative factor,1,yes
categorical factors,1,yes
most categorical variables,1,yes
continuous variables,1,yes
this factor,1,yes
most experiments,1,yes
both numeric and categorical factors,1,yes
eight runs,1,yes
eight plausible factors,1,yes
our initial screening experiments,1,yes
these experimental data,1,yes
the effectiveness,1,yes
such an experiment,1,yes
statistical control,1,yes
statistical methods,1,yes
response surface methodology,1,yes
https://www.amazon.com/response-surface-methodology-optimization-experiments/dp/0470174463,1,yes
industrial experiments,1,yes
` `fractional factorial designs - part,1,yes
` `fractional factorial designs - part ii,1,yes
"statistical methods, experimental design and scientific inference",1,yes
a review of response surface,1,yes
several runs,1,yes
level a,1,yes
some runs,1,yes
level,1,yes
these runs,1,yes
all the a runs,1,yes
all other disturbance variables,1,yes
only the a-to-b effect,1,yes
our experiment,1,yes
more than one factor,1,yes
a pooled variance,1,yes
a *statistically* significant effect,1,yes
the narrow statistical conclusion,1,yes
linear least squares models,1,yes
this linear model,1,yes
x <- factor(x,1,yes
~ x) return(list(summary(model,1,yes
the least squares confidence interval,1,yes
parameter,1,yes
the least squares method,1,yes
the model's standard error,1,yes
randomization,1,yes
ref:`the design,1,yes
these 17 experiments,1,yes
the experimental values,1,yes
the null hypothesis,1,yes
the variances,1,yes
confint(model,1,yes
ref:`the design of experiments,1,yes
many real experiments,1,yes
the +1 level,1,yes
a wasted experiment,1,yes
the standard least squares equations,1,yes
its high level,1,yes
its low level,1,yes
doe-handling-constraints,1,yes
the run,1,yes
doe-optimial-designs,1,yes
one or more additional experiments,1,yes
the final response value,1,yes
doe-cost,1,yes
one or more experiments,1,yes
sometimes the interaction parameters,1,yes
higher-order interaction terms,1,yes
response surface designs,1,yes
squares model,1,yes
perfectly executed experiments,1,yes
optimum production levels,1,yes
the factorials,1,yes
our response variables,1,yes
these 5 runs,1,yes
/two-factors,1,yes
3 or more factors,1,yes
2-factor cases,1,yes
ref:`optimal designs,1,yes
the experimental points,1,yes
the most orthogonal design,1,yes
optimal designs,1,yes
experimental methods,1,yes
an *optimal* design,1,yes
the factorial designs,1,yes
from least squares,1,yes
the model center,1,yes
a factorial,1,yes
their effects,1,yes
an excellent design,1,yes
possible experimental points,1,yes
"an ""optimal"" design",1,yes
all an optimal design,1,yes
the design region,1,yes
a non-standard model,1,yes
even a factorial design,1,yes
14 experiments,1,yes
more than 2 levels,1,yes
a d-optimal design,1,yes
which additional experiment(s,1,yes
i.e. the parameters,1,yes
factor levels,1,yes
all possible experiments,1,yes
extra experiments,1,yes
those few runs,1,yes
- a-optimal designs,1,yes
the average variance,1,yes
the general variance,1,yes
` - g-optimal designs,1,yes
the maximum variance,1,yes
the predictions - v-optimal designs,1,yes
composite designs,1,yes
a new trial combination,1,yes
regression designs,1,yes
the :index:`definitive screening design,1,yes
definitive screening design,1,yes
ref:`optimal design,1,yes
an optimal design,1,yes
the optimization criterion,1,yes
definitive screening designs,1,yes
three-level designs,1,yes
definitive screening,1,yes
second-order effects,1,yes
mixture designs,1,yes
optimization designs,1,yes
a mixture design,1,yes
"an independent, factorial-like manner",1,yes
/doe/mixture,1,yes
-design.png,1,yes
missing values in response surface designs,1,yes
the first screening experiments,1,yes
*dealias,1,yes
a single main effect,1,yes
the largest effect,1,yes
some additional experiments,1,yes
any two-factor interactions,1,yes
another 8 experiments,1,yes
the original 8 experiments,1,yes
the recent 8 experiments,1,yes
all 16 runs,1,yes
16 parameters,1,yes
that factor c,1,yes
the other main effects,1,yes
the first 8 experiments,1,yes
that factor's main effect,1,yes
the two fractional factorials,1,yes
the complete design matrix,1,yes
factor settings,1,yes
a high level,1,yes
generated factors,1,yes
a particular run,1,yes
the generated factors,1,yes
these 8+8 experiments,1,yes
this resolution iv design,1,yes
all the main effects,1,yes
further experiments,1,yes
how fractional factorials,1,yes
doe/projectivity,1,yes
2 replicate experiments,1,yes
1 factor,1,yes
a resolution,1,yes
iv fractional factorial,1,yes
(16 runs) system,1,yes
an embedded full factorial,1,yes
any 3 factors,1,yes
a replicated full factorial,1,yes
the remaining 3 factors,1,yes
the :index:`resolution <pair,1,yes
3-factor interactions,1,yes
the first four factors,1,yes
the standard factorial way,1,yes
the fifth factor,1,yes
4-factor interactions,1,yes
a higher resolution design,1,yes
your experimental budget,1,yes
a lower resolution,1,yes
the resolution index,1,yes
"1, two-factor interactions",1,yes
"2, three-factor interactions",1,yes
resolution iii designs,1,yes
initial screening,1,yes
the many potential factors,1,yes
- two-factor interactions,1,yes
resolution iv designs,1,yes
both the main effects,1,yes
- interactions,1,yes
just the main effects,1,yes
resolution v designs,1,yes
complex effects,1,yes
high-accuracy predictive models,1,yes
resolution iv,1,yes
v designs,1,yes
a satisfactory optimization,1,yes
a resolution iv experiment,1,yes
"resolution iii, iv and v designs",1,yes
other design types,1,yes
box-behnken designs,1,yes
doe-definitive-screening-designs,1,yes
which main effects,1,yes
the :index:`confounding pattern,1,yes
3 = 8` experiments,1,yes
the previous designs,1,yes
* a factor,1,yes
half fraction,1,yes
- aliasing,1,yes
(*answer*: **bc**) - aliasing,1,yes
) - aliasing,1,yes
which aliasing,1,yes
the 2-factor interaction term,1,yes
(*answer*: **cd**) - aliasing,1,yes
all 3 factors,1,yes
significant effect,1,yes
the original generator,1,yes
so factor,1,yes
the full-factorial,1,yes
the other half fraction,1,yes
that interesting factor,1,yes
the complementary half fraction,1,yes
these additional 4 experiments,1,yes
the usual full factorial,1,yes
the generating factor,1,yes
the 4 experiments,1,yes
the blocking pattern,1,yes
an unintended disturbance,1,yes
a 3-factor interaction,1,yes
your block effect,1,yes
the highest possible interaction term,1,yes
1 runs,1,yes
that highest interaction factor,1,yes
that interaction factor,1,yes
the block generators,1,yes
doe-blocking-and,1,yes
half fractions ~~~~~~~~~~~~~~~~~~ .. youtube,1,yes
2` factorial,1,yes
any 2 factors,1,yes
our half-factorial designed experiment,1,yes
all interactions,1,yes
experiment a b c ab ac bc abc intercept,1,yes
doe_orthogonality,1,yes
perfect collinearity,1,yes
a** main effect,1,yes
the least-squares coefficient,1,yes
both these effects,1,yes
the two-factor interaction,1,yes
an :index:`alias <pair: aliasing,1,yes
an alias,1,yes
these aliased effects,1,yes
highly fractionated designs,1,yes
a *half fraction,1,yes
a fractionated design,1,yes
the higher-order interaction terms,1,yes
only 8 experiments,1,yes
**3 factors,1,yes
**4 factors,1,yes
**5 factors,1,yes
` fractional factorial,1,yes
}` fractional factorial,1,yes
a very complex confounding pattern,1,yes
", then the 2 factor",1,yes
perhaps 3-factor interactions,1,yes
full factorials,1,yes
much fewer factors,1,yes
a highly fractionated factorial,1,yes
your response,1,yes
7 main effects,1,yes
the 7 factor names,1,yes
the first 3 factors,1,yes
the usual full factorial layout,1,yes
the remaining factors,1,yes
the highest-possible interaction terms,1,yes
the other 4 factors,1,yes
the 4 interaction terms,1,yes
the experimental results,1,yes
the 4 generators,1,yes
the generator,1,yes
- intercept,1,yes
[1] - each generator,1,yes
the :ref:`design's resolution,1,yes
design-resolution,1,yes
the aliasing or confounding pattern,1,yes
any desired effect,1,yes
our factor,1,yes
2-factor,1,yes
higher interaction terms,1,yes
** two-factor interactions,1,yes
any 3 and higher-order interaction,1,yes
all the aliases,1,yes
only the two-factor interactions,1,yes
the confounding,1,yes
this confounding pattern,1,yes
a cause-and-effect analysis,1,yes
8 factors,1,yes
an important response variable,1,yes
8 = 256` experiments,1,yes
16` experiments,1,yes
8` runs,1,yes
the intercept and 8 main effects,1,yes
the first 4 factors,1,yes
the usual full factorial manner,1,yes
these 16 runs,1,yes
the remaining 4 factors,1,yes
the three-factor interactions,1,yes
all aliases,1,yes
3-factor,1,yes
"a different, more preferable confounding pattern",1,yes
ref:`design resolution,1,yes
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ running,1,yes
a low and high level,1,yes
these five factors,1,yes
32` runs,1,yes
each experiment,1,yes
only the 5 main effects,1,yes
10 two-factor interactions,1,yes
the remaining 10 three-factor interactions,1,yes
5 four-factor interactions,1,yes
a single five-factor interaction,1,yes
32 effects,1,yes
5 main effects,1,yes
intercept,1,yes
the higher interactions,1,yes
most two-factor interactions,1,yes
practical significance,1,yes
index:`fractional factorials,1,yes
2 half-fractions generators,1,yes
saturated-designs-for-screening design,1,yes
saturated designs,1,yes
screening,1,yes
index:`saturated design,1,yes
the major effects,1,yes
resolution iii,1,yes
` factorial,1,yes
ref:`highly fractionated designs,1,yes
the 7 factors,1,yes
their interactions,1,yes
seven factors,1,yes
eight parameters,1,yes
the experiment a = b = c = c(-1,1,yes
design$b c = design$c d,1,yes
r significant effects,1,yes
the next largest effect,1,yes
the 2 factor-interactions,1,yes
these existing 8 experiments,1,yes
index:`plackett,1,yes
burman designs,1,yes
a highly fractionated design,1,yes
12 experimental runs,1,yes
11 factors,1,yes
12 experiments,1,yes
"other, arguable better screening strategies",1,yes
ref:`definitive screening designs,1,yes
definitive-screening-designs,1,yes
by least squares,1,yes
the experimental data,1,yes
baseline experiment,1,yes
\text{population model,1,yes
} x_tx_s + \varepsilon\\ \text{sample model,1,yes
four parameters,1,yes
no residual error,1,yes
the error,1,yes
linear regression,1,yes
these coefficients,1,yes
ref:`linear regression interpretation,1,yes
this slope coefficient,1,yes
the slope coefficient,1,yes
the four experimental values,1,yes
high interaction,1,yes
interaction-effects,1,yes
their high level,1,yes
-surface,1,yes
the nonlinear surface,1,yes
this surface,1,yes
the least squares plane,1,yes
outer levels,1,yes
the factorial experiments,1,yes
four model parameters,1,yes
the model's residuals,1,yes
a useful model,1,yes
assessing significance,1,yes
no :index:`replicate points,1,yes
replicates,1,yes
complete replicates,1,yes
a complete replicate,1,yes
the entire experiment,1,yes
one actual experiment,1,yes
a true replicate,1,yes
the measurement error,1,yes
analytical error,1,yes
our experimental budget,1,yes
complete replicate experiments,1,yes
the overall experimental procedure,1,yes
the statistical significance,1,yes
all the factors,1,yes
these parameters,1,yes
doe-analysis,1,yes
significant coefficients,1,yes
the small coefficients,1,yes
a significant and causal effect,1,yes
future experimentation,1,yes
least squares models,1,yes
the factor variables,1,yes
ref:`highly fractionated and saturated designs,1,yes
standard error,1,yes
your experimental budget screening,1,yes
additional factors,1,yes
parameters,1,yes
each model coefficient,1,yes
each main effect,1,yes
the model matrix,1,yes
^3` factorial,1,yes
three additional runs,1,yes
the following least squares representation,1,yes
the center point runs,1,yes
additional runs,1,yes
whose variance,1,yes
the desired confidence level,1,yes
their own level,1,yes
: \text{temperature effect,1,yes
11.5 \pm 0.707\\ \text{catalyst effect,1,yes
the 95% significance level,1,yes
the catalyst effect,1,yes
nonsignificant effects ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^,1,yes
which effects,1,yes
the nonsignificant effects,1,yes
experimental order,1,yes
the response values,1,yes
only five parameters,1,yes
all coefficients,1,yes
significant effects,1,yes
one or more effects,1,yes
those parameters,1,yes
the remaining effects,1,yes
exclude effects,1,yes
medium-size effects,1,yes
the factorial approach,1,yes
/doe/comparison,1,yes
variances.png,1,yes
the full factorial approach,1,yes
|l|l| +--------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------+ | cost approach | fractional factorial approach,1,yes
lower variance,1,yes
each experimental observation work,1,yes
example: design,1,yes
a three-factor experiment,1,yes
a plastics molding factory,1,yes
the three factors,1,yes
the treatment temperature,1,yes
the **c effect,1,yes
t effect,1,yes
the **s effect,1,yes
the 3 two-factor interactions,1,yes
the **ct interaction,1,yes
** interaction,1,yes
the **cs interaction,1,yes
the **st interaction,1,yes
the single three-factor interaction,1,yes
the lower level,1,yes
the upper level,1,yes
responses,1,yes
binary factors,1,yes
the standard errors,1,yes
duplicate runs,1,yes
our effects,1,yes
our standard error,1,yes
relatively few experiments,1,yes
more complex designs,1,yes
ref:`saturated designs,1,yes
two-or-more-factors,1,yes
-design,1,yes
-factor,1,yes
-experiment,1,yes
-significance,1,yes
-effects,1,yes
-interactions,1,yes
- the factorial experimental design,1,yes
- these coefficients,1,yes
the temperature coefficient,1,yes
the interaction effects,1,yes
significant interaction terms,1,yes
all main factors,1,yes
that interaction term,1,yes
page 185. - factorial designs,1,yes
the estimated variance,1,yes
- a small or zero effect,1,yes
4 or more factors,1,yes
factorial,1,yes
|-| | high level,1,yes
substrate level,1,yes
the coded runs,1,yes
their low levels,1,yes
2 = 4` experiments,1,yes
(runs,1,yes
the actual experiments,1,yes
experiment|,1,yes
the two runs,1,yes
the |-| level,1,yes
the |+| level,1,yes
two temperature effects,1,yes
the average main effect,1,yes
doe-fig-calculate-main-effects,1,yes
a very effective method,1,yes
the following surface plot,1,yes
"unknown, surface",1,yes
the slight curvature,1,yes
a linear approximation,1,yes
index:`interaction plot,1,yes
fig-interaction-plot-example,1,yes
the surfaces,1,yes
interaction plots,1,yes
interaction effects,1,yes
other levels,1,yes
the main temperature effect,1,yes
an *interaction,1,yes
different levels,1,yes
the categorical factor,1,yes
the soap’s effect,1,yes
the warm water’s effect,1,yes
fig-interaction,1,yes
interactions.png,1,yes
the average temperature main effect,1,yes
the low and high levels,1,yes
the average substrate concentration main effect,1,yes
the temperature-substrate interaction term,1,yes
this interaction term,1,yes
no interaction,1,yes
roughly the same effect,1,yes
the high and low levels,1,yes
"a large, positive interaction term",1,yes
a linear,1,yes
", least squares model",1,yes
doe-fig-cube,1,yes
doe-fig-calculate-main,1,yes
doe-fig-interaction-plot,1,yes
doe-fig-interaction-example-,1,yes
the previous experiment,1,yes
screening designs,1,yes
your first experiment,1,yes
the first experiment,1,yes
that first run,1,yes
that center point run,1,yes
as few runs,1,yes
"a saturated, resolution iii design",1,yes
a plackett and burman design,1,yes
the important effects,1,yes
the previous experiments,1,yes
the design's resolution,1,yes
a prior screening experiment,1,yes
additional experiments,1,yes
higher resolution,1,yes
full or half-fraction factorials,1,yes
second order effects,1,yes
other slow moving disturbances,1,yes
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%% design,1,yes
2 design-analysis-experiments examples,1,yes
how-designed-experiments,1,yes
-levels,1,yes
full-factorial-designs/index,1,yes
-factorial-designs/index,1,yes
index:`response surface methods,1,yes
the unknown response surface,1,yes
factorial experiments,1,yes
these factorials,1,yes
better designs,1,yes
doe-cost-approach,1,yes
how sequential experimentation,1,yes
sequential experimentation,1,yes
only one factor,1,yes
just the effect,1,yes
the general response surface process,1,yes
a 2-level experiment,1,yes
the corresponding response values,1,yes
a slope,1,yes
a non-linear curve,1,yes
only a single factor,1,yes
other relevant factors,1,yes
experiment| t,1,yes
the factorial data,1,yes
that scaling factor,1,yes
the model's contours,1,yes
the model contours,1,yes
rsm-base-case-with-first-factorial,1,yes
our estimated model's surface,1,yes
the model function,1,yes
the surface,1,yes
our model,1,yes
a new factorial,1,yes
the 4 factorial points,1,yes
our previous factorial,1,yes
linear terms,1,yes
the *true response surface,1,yes
this curvature,1,yes
the factorial's center point,1,yes
just the intercept term,1,yes
the last factorial,1,yes
the main effects' coefficients,1,yes
index:`curvature <pair,1,yes
response surface,1,yes
the estimate model,1,yes
index:`central composite designs,1,yes
an existing orthogonal factorial,1,yes
an ordinary factorial,1,yes
nonlinearity,1,yes
a 2 factor system,1,yes
/central-composite-design.png,1,yes
central-composite-design.svg,1,yes
a central composite design layout,1,yes
the four response values,1,yes
a least-squares model,1,yes
the linear terms,1,yes
the quadratic effects,1,yes
the other effects,1,yes
the response surface methodology,1,yes
this model's contour plot,1,yes
